Lambda;Epoch;Train accuracy;Test accuracy;Structure
0.0001;0;10.342741217923622;9.641638225255972;[1600, 256, 128, 35]
0.0001;10;31.683097839627006;24.445392491467576;[1600, 256, 128, 35]
0.0001;20;44.65008126609009;31.612627986348123;[1600, 256, 128, 35]
0.0001;30;54.24778446097448;36.785409556313994;[1600, 256, 128, 35]
0.0001;40;60.590098587037765;39.899744027303754;[1600, 256, 128, 35]
0.0001;50;65.36640922518419;41.872866894197955;[1600, 256, 128, 35]
0.001;0;65.41623660889063;41.371587030716725;[1600, 256, 128, 35]
0.001;10;69.6230914332491;43.28071672354949;[1600, 256, 128, 35]
0.001;20;72.68866189747423;44.091296928327644;[1600, 256, 128, 35]
0.001;30;74.22619259470169;44.77389078498293;[1600, 256, 128, 35]
0.001;40;77.1624491345458;45.20051194539249;[1600, 256, 128, 35]
0.001;50;78.73794355269246;45.87244027303754;[1600, 256, 128, 35]
0.01;0;77.95731454129148;45.34982935153584;[1600, 256, 128, 35]
0.01;10;80.24225599411562;46.17107508532423;[1600, 256, 128, 35]
0.01;20;80.64443416260336;45.21117747440273;[1600, 256, 128, 35]
0.01;30;82.07281916218814;45.76578498293515;[1600, 256, 128, 35]
0.01;40;83.13461698164691;46.107081911262796;[1600, 256, 128, 35]
0.01;50;84.30793323130584;46.57636518771331;[1600, 256, 128, 35]
0.1;0;10.212240927263885;9.545648464163822;[1600, 256, 128, 35]
0.1;10;32.44711772312584;24.328071672354948;[1600, 256, 128, 35]
0.1;20;45.386814725178255;32.67918088737201;[1600, 256, 128, 35]
0.1;30;54.00695210639333;36.64675767918089;[1600, 256, 128, 35]
0.1;40;60.94600847065523;39.729095563139936;[1600, 256, 128, 35]
0.1;50;65.4909776844503;41.13694539249147;[1600, 256, 128, 35]