,Train accuracy,Test accuracy,Epoch,Normalization
0,12.957492496233286,11.80674061433447,0,None
1,16.259149849924665,12.414675767918089,10,None
2,18.56781862832331,14.110494880546076,20,None
3,18.016158308716232,13.747866894197951,30,None
4,18.801532785232112,13.779863481228668,40,None
5,18.22970423888671,13.641211604095563,50,None
6,3.8568767721346284,3.839590443686007,0,Min max
7,5.058665812482946,4.959470989761092,10,Min max
8,6.470441684165569,6.303327645051195,20,Min max
9,7.378011887390112,7.284556313993173,30,Min max
10,7.719685375662882,7.5191979522184305,40,Min max
11,7.501393980377502,7.572525597269625,50,Min max
12,4.102454591830681,4.340870307167235,0,Max abs
13,5.535585056530353,5.439419795221843,10,Max abs
14,6.498914474854967,6.292662116040956,20,Max abs
15,7.112265840955737,6.804607508532423,30,Max abs
16,7.669857991956437,7.423208191126279,40,Max abs
17,7.838322003535371,7.551194539249146,50,Max abs
18,5.495248603053707,4.778156996587031,0,Withening
19,20.92394205787095,12.563993174061434,10,Withening
20,23.500729615261413,13.417235494880547,20,Withening
21,24.708450487003358,14.110494880546076,30,Withening
22,25.479588568174538,14.419795221843005,40,Withening
23,26.00396246337094,14.462457337883958,50,Withening
24,11.834003630280813,11.881399317406144,0,Mean variance
25,21.415097697263054,17.544795221843003,10,Mean variance
26,23.704784615202097,18.312713310580207,20,Mean variance
27,25.007414789242034,18.35537542662116,30,Mean variance
28,25.689575399508847,18.206058020477816,40,Mean variance
29,26.365804178382035,18.24872013651877,50,Mean variance